Feed,Dry Matter (%),ME (Mcal/kg),ME(MJ/kg),TDN (%),CP (%),DCP (%),CountryId,LanguageId
Shrubs: Acacia Cyanophylla (Leguminosae ) ,38.61,1.3,5.43,,12.87,2.01,2,1
Shrubs: Acacia Foliage ,39.2,1.36,5.69,,13.8,3.92,2,1
Shrubs: Arbutus Unedo,44,1.7,7.1,,5.5,2.75,2,1
Shrubs: Erica Arborea,52.8,1.39,5.8,,8,4,2,1
Shrubs: Myrtus Communis,20,1.53,6.4,,13,8.45,2,1
Shrubs: Phillyrea Angustifolia,53.3,1.7,7.1,,11,7.15,2,1
Shrubs: Pistacia Lentiscus,47.8,2.21,9.57,,6,3.11,2,1
Shrubs: Rosmarinus Officinalis (Labiatae) ,54.9,1.12,4.7,,6.2,3.41,2,1
Shrubs: Thymus Capitatus,47.2,1.704,7.1,,8.8,4.84,2,1
Shrubs: Artemisia Campestris ,64.7,1.434,6,,6.9,3.8,2,1
Shrubs: Artemisia Herba Alba ,67.1,2.0793,8.7,,10.5,5.78,2,1
Shrubs: Quercus Suber,49,1.0755,4.5,,7,3.47,2,1
Silage: Oat + Triticale,32,2.21,9.25,,11.44,7.5,2,1
Silage: Oat + Barley,33,2.15,9,,10.65,7,2,1
Silage: Oat + Sulla,35,2.27,9.5,,11.95,8,2,1
